ID,Rank,Change,Name,Rating,Prev Rank,Prev Rating
user/f63cd4ca,1,+1,CRG JCxF | Deznere,1733.1,2,1697.8
user/9d921955,2,-1,Topgun,1698.7,1,1699.1
user/a5f67f06,3,0,TBB | ProPlanter24,1679.4,3,1648.6
user/4dbed50d,4,0,Buttonchecker,1629.0,4,1596.1
user/2ae13d59,5,+2,Splash,1618.4,7,1573.9
user/893469d2,6,-1,Xisin,1600.2,5,1591.2
user/e59d420a,7,+1,Ehuefaef,1589.1,8,1571.9
user/728a0841,8,-2,NB / ADC* | Staticalpha,1579.6,6,1579.6
user/be6f9e24,9,0,ETP,1572.8,9,1565.8
user/cae56fb0,10,+17,TRUST | StealthT,1571.6,27,1517.8
user/b4db7f2a,11,New,TRUST | CrayolaBrain,1568.6,-,!!
user/c0ce9673,12,+10,Glight/CDM,1562.8,22,1527.2
user/3baf4fc3,13,+4,Wildz,1558.1,17,1533.0
user/bfbeb133,14,+6,Sleepy_Justin,1552.6,20,1530.4
user/7de57759,15,0,Mason_The_Ogre,1547.7,15,1538.3
user/a8c13d75,16,-4,UncleGeorge,1546.7,12,1546.7
user/9395eb5f,17,-7,RebootTheCrusade,1545.5,10,1553.6
user/b5348d6f,18,+5,cities,1544.2,23,1523.5
user/00a03b0a,19,New,Jaja,1542.6,-,!!
user/243bb778,20,-9,Shin,1541.0,11,1552.8
user/49fd896f,21,-2,suiko since 1996,1540.3,19,1531.7
user/e9d3b69f,22,New,Steven2brazu,1538.1,-,!!
user/eee5383d,23,-7,MattMatrix,1535.1,16,1535.1
user/86df37e3,24,-11,Finn,1533.3,13,1543.7
user/f8b23c47,25,-7,Zombieguts13,1532.5,18,1532.5
user/bb3625c4,26,-5,CVLY | CVLY | Cream,1522.3,21,1527.8
CLOWNS,27,-3,CLOWNS,1522.2,24,1522.2
Ultron Sigma,28,New,Ultron Sigma,1520.5,-,!!
user/d94b2406,29,-15,Hot Pants,1519.1,14,1538.8
user/d064996c,30,-4,Gundyr,1518.0,26,1518.8
user/1b682455,31,-1,CDT,1515.2,30,1506.9
user/f9c20cee,32,New,KrillinBChillin,1513.2,-,!!
user/f074e59e,33,-2,IsoAmWhite,1513.2,31,1506.8
user/22aa4ff4,34,New,Hurricane Fury,1512.1,-,!!
user/df8b5ebd,35,-10,BDC,1511.9,25,1522.1
user/c4157668,36,New,Omni-Gihun,1510.9,-,!!
Troopdupe,37,-8,Troopdupe,1510.8,29,1510.8
user/656e9edf,38,-10,BOGO | krunky,1503.6,28,1511.0
